回答ID, 企画ID, 団体名, 主体としているキャンパス, 団体の区分, 活動内容, 活動日, 活動場所, 部員数, 部費, ひとこと, キャッチコピー, 年間日程
1035, 2035, レトロゲーム愛好会「Pixel Nostalgia」, 野田, 文化系, ファミコン、スーファミ、メガドライブ、PCエンジン等のレトロゲームを実際にプレイ。持ち寄り会、対戦会。, 月1-2回 週末 (活動日), 部室棟 N104 (機材・ソフト多数あり), 24名（男子22名、女子2名）, 2000円/年 (機材維持費), 懐かしのドット絵、ピコピコ音…レトロゲーム最高！という人、集まれ！実機でプレイする楽しさを共有しましょう。知らないゲームとの出会いも！, あの頃の興奮を、もう一度。, 4月:新歓・名作レトロゲーム体験会 5月:ハード別特集プレイ会(FC/SFCなど) 6月:レトロ格ゲー大会 7月:シューティングゲーム攻略会 8月:夏休み徹夜ゲーム合宿(希望者) 10月:持ち寄りソフトプレイ会 11月:理大祭(試遊コーナー) 12月:年末RPGクリア耐久(企画中) 2月:マイナーゲーム発掘会 3月:ジャンル別対戦トーナメント
1036, 2036, 吹奏楽団「Wind Ensemble Lyra」, 野田, 音楽系, 定期演奏会、地域のイベント出演に向けた合奏練習。パート練習、アンサンブル練習も。, 週2回 (火曜・土曜) 合奏 + パート練習(随時), 音楽練習室、講義棟、トレーニング棟, 40名（男子18名、女子22名）, 10000円/年 + 演奏会費別途, 楽器経験者歓迎！ブランクあってもOK。中学・高校で吹奏楽やってた人、大学でも続けませんか？楽器貸し出し相談可。一緒に音楽を作り上げる喜びを！, 響け、私たちのシンフォニー！, 4月:新歓ミニコンサート＆楽器体験 5月:新入生歓迎合奏会 7月:サマーコンサート 8月:夏合宿(集中練習) 10月:地域イベント出演 11月:理大祭(ステージ演奏＆アンサンブル) 12月:クリスマスアンサンブルコンサート 3月:定期演奏会
1037, 2037, 模型サークル「Plastic World」, 野田, 文化系, ガンプラ、スケールモデル（車、飛行機、戦車）、キャラクターモデル等の製作。塗装、改造、ジオラマ制作。, 週1回 活動日(金曜放課後), 部室棟 W107 (作業スペース), 18名（男子17名、女子1名）, 3000円/年 (共用工具・塗料代), プラモデル作るのが好きな人、これから始めたい人歓迎。素組みから本格塗装、改造まで、自分のペースで楽しめます。道具や技術の情報交換も。, 手のひらサイズの、無限の世界。, 4月:新歓・制作体験会(簡単キット) 5月:工具・塗料の使い方講座 6月:ガンプラ素組みコンテスト 7月:前期完成品発表会 8月:夏休み大作チャレンジ期間 10月:エアブラシ塗装体験会 11月:理大祭(作品展示) 12月:テーマ別制作会(例:ミリタリー) 2月:ジオラマ制作入門 3月:年間MVP発表会
1038, 2038, クイズ研究会「Question Mark」, 野田, 文化系, 早押しクイズの練習（例会）、各種クイズ大会への参加、問題作成、企画運営。, 週2回 例会(月曜・木曜放課後), 講義棟 K404, 22名（男子15名、女子7名）, 1000円/年 + 大会参加費実費, クイズが好き！早押しボタン押してみたい！知識を活かしたい！そんなあなたを待ってます。初心者大歓迎。様々なジャンルの問題に触れられます。一緒に「ナナマルサンバツ」の世界へ！, 知識は力、ひらめきは翼。, 4月:新歓クイズ体験会＆説明会 5月:早押し機操作練習＆基礎問題 6月:ジャンル別クイズ大会(部内) 7月:前期実力テスト 8月:夏合宿(クイズ漬け＆企画) 9月:新人戦参加(有志) 11月:理大祭(来場者参加型クイズ企画) 12月:年末企画クイズ大会 2月:問題作成ワークショップ 3月:年間チャンピオン決定戦
1039, 2039, キャンパスラジオ「TUS Wave」, 野田, 文化系, 学内向けインターネットラジオ番組の企画・制作・配信。パーソナリティ、ミキサー、構成作家など。, 週1回 ミーティング(火曜昼休み) + 収録(不定期), 部室棟 E205 (簡易スタジオ), 16名（男子9名、女子7名）, 500円/年, ラジオが好き！話すのが好き！音楽が好き！番組作りに興味がある人、募集！機材の使い方から教えます。あなたの声を、アイデアを、電波に乗せてみませんか？, 届け、キャンパスに、私たちの声。, 4月:新歓・スタジオ見学＆体験収録 5月:番組企画会議、機材講習 6月:新入生パーソナリティデビュー 7月:前期人気番組発表 8月:夏休み特別番組制作 10月:ゲスト企画(先生や他サークル) 11月:理大祭公開収録(予定) 12月:年末特番 2月:新番組企画プレゼン大会 3月:年間放送大賞
1040, 2040, 歴史探訪サークル「Time Travelers」, 野田, 文化系, 史跡・博物館・古戦場などを巡るフィールドワーク、歴史に関する勉強会、テーマ別発表会。, 月1回 フィールドワーク(土日) + 月1回 勉強会(平日夜), 関東近郊の史跡・博物館、講義棟, 27名（男子16名、女子11名）, フィールドワーク実費のみ (交通費・入場料など), 歴史が好きなら誰でも歓迎！日本史、世界史、時代、ジャンル問わず。教科書だけではわからない現地の空気を感じに行きませんか？知的好奇心を満たす旅へ！, 過去への旅、未来への発見。, 4月:新歓・野田周辺史跡巡り 5月:鎌倉歴史散策 6月:戦国時代勉強会 7月:江戸東京博物館見学 8月:夏合宿(関西or東北方面史跡巡り予定) 10月:川越(小江戸)散策 11月:理大祭(研究発表・活動紹介) 12月:幕末史勉強会＆関連史跡訪問 2月:古墳巡り(埼玉) 3月:テーマ別自由研究発表会
1041, 2041, 東京理科大学フィルハーモニー管弦楽団, ３キャンパス合同, 音楽系, 年2回の定期演奏会を目標とした合奏練習。パート練習、室内楽活動も。, 週2回 (水曜夜、土曜終日) + 長期休暇中は集中練習あり, 各キャンパス音楽練習室、外部ホール、合宿施設, 85名（男子40名、女子45名）, 20000円/年 + 演奏会費・合宿費別途, 楽器経験者歓迎！(特に弦楽器、管楽器) クラシック音楽が好き、オーケストラで演奏したい方、一緒に感動的な音楽を創りましょう！見学いつでもどうぞ！, 音楽で繋がる、心揺さぶる響きを。, 4月:新歓演奏会＆楽器体験 5月:パート別懇親会 6月:前期定期演奏会 8月:夏合宿(集中練習) 10月:室内楽発表会 11月:理大祭ミニコンサート 12月:後期定期演奏会 2月:パートリーダー交代式 3月:春合宿、卒業演奏
1042, 2042, アルティメットサークル「Disc Flyers」, 野田, 運動系, フリスビーを使ったチームスポーツ「アルティメット」の練習。パス、キャッチ、戦術練習、練習試合。, 週2回 (火曜・金曜 18:00～), 野田キャンパスグラウンド、近隣河川敷, 45名（男子28名、女子17名）, 5000円/年, 大学から始める人がほとんど！運動神経に自信なくても大丈夫！走る・投げる・跳ぶ、全身運動で楽しい！男女ミックスで和気あいあいと活動中！, 空飛ぶディスクを追いかけろ！, 4月:新歓体験会＆BBQ 5月:基礎練習集中期間 6月:フレッシュマンズカップ(新人戦) 8月:夏合宿(ビーチアルティメットも？) 9月:学生選手権大会 11月:理大祭(デモンストレーション) 12月:クリスマス交流戦 3月:追いコン
1043, 2043, 硬式テニスサークル「Ace Breakers」, 野田, 運動系, レベル別の練習（基礎、ラリー、ゲーム形式）。学内ランキング戦、他大学との交流戦、合宿。, 週2-3回 (水曜・土曜 + 自由参加日), 野田キャンパステニスコート, 70名（男子45名、女子25名）, 8000円/年, 初心者から経験者まで、テニス好きなら誰でも大歓迎！楽しくテニスしたい人、試合で勝ちたい人、どちらも満足できる環境です！イベントも盛りだくさん！, 最高の仲間と、最高のラリーを！, 4月:新歓テニス＆BBQ 5月:新入生向けレッスン会 7月:前期学内ランキング戦 8月:夏合宿(テニス＆レジャー) 10月:他大学交流戦 11月:理大祭(テニス体験) 12月:クリスマステニス大会 2月:春合宿 3月:卒業生追い出し試合
1044, 2044, バスケットボール同好会「Hoop Dreams」, 野田, 運動系, 男女ミックスでゲーム中心のバスケ。シューティング、3on3なども。ゆるく楽しくがモットー。, 週1回 (木曜 18:30～), 野田市総合公園体育館, 50名（男子35名、女子15名）, 6000円/年 (体育館代), バスケ好き集まれ！経験不問、男女問わず。楽しく体を動かしたい人、バスケ仲間が欲しい人にぴったり。気軽に参加してください！, Enjoy Basketball Life!, 4月:新歓ゲーム会 5月:新歓コンパ 7月:前期お疲れ様3on3大会 9月:夏合宿(バスケ＆観光) 11月:理大祭(フリースローチャレンジ) 12月:忘年会＆バスケ納め 2月:OB/OG交流戦 3月:学年対抗戦
1045, 2045, バレーボールサークル「Spike Mate」, 野田, 運動系, 男女混合でゲーム形式中心。基礎練習も適宜実施。初心者歓迎、経験者も楽しめるレベル。, 週1回 (金曜 19:00～), 近隣中学校体育館 or 公共体育館, 60名（男子30名、女子30名）, 5000円/年 (体育館代), バレーボールしたい人、集まれ！初心者でも大丈夫、皆で教え合います。男女・学年問わず仲が良く、和気あいあいとした雰囲気です！, 繋げ！笑顔とボール！, 4月:新歓体験バレー＆懇親会 5月:ポジション別練習会 7月:ビーチバレー大会(有志) 8月:夏合宿(バレー＆BBQ) 10月:ハロウィン仮装バレー 11月:理大祭(ミニゲーム企画) 12月:クリスマスMixチーム大会 3月:追いコン
1046, 2046, 軟式野球サークル「Sluggers」, 野田, 運動系, キャッチボール、バッティング、ノック、紅白戦など。地域の草野球大会参加も検討中。, 週1回 (土曜午前), 野田市周辺の野球グラウンド, 35名（男子30名、女子マネージャー5名）, 4000円/年 (グラウンド代、ボール代), 野球好きなら経験問わず大歓迎！中学・高校でやってた人も、見る専だった人もOK！マネージャーも募集中！楽しく野球やりましょう！, 白球に青春を！, 4月:新歓キャッチボール＆ミニゲーム 5月:新歓コンパ 7月:前期紅白戦 8月:夏合宿(野球＆レク) 10月:バッティングセンター練習会 11月:理大祭(ストラックアウト) 12月:練習納め＆忘年会 3月:OB戦
1047, 2047, 陸上競技同好会「Track & Field Lovers」, 野田, 運動系, 短距離、中長距離、跳躍、投擲など、各自の専門種目を中心に自主練習。合同練習会、記録会参加。, 週2回 合同練習(水曜夕方、土曜午前) + 自主練, 野田キャンパスグラウンド、近隣競技場, 40名（男子25名、女子15名）, 3000円/年 (共有備品代), 陸上が好きなら誰でも！専門種目がある人も、これから見つけたい人もOK。自己ベスト更新を目指す人も、健康維持目的の人も。自分のペースで活動できます。, 自分の限界へ、走り出そう！, 4月:新歓体験練習会 5月:種目別相談会 6月:学内記録会① 8月:夏合宿(合同練習) 10月:学内記録会② 11月:理大祭(体力測定コーナー) 12月:駅伝大会参加(有志) 2月:冬季トレーニング報告会 3月:シーズンイン記録会
1048, 2048, 水泳サークル「Aqua Beats」, 野田, 運動系, 週1回、近隣の温水プールで各自のペースで泳ぐ。リレーや水中ゲームも。初心者向けレッスンも企画。, 週1回 (火曜夜), セントラルウェルネスクラブ24柏 or ミナトスポーツクラブ天王台(各自利用), 30名（男子18名、女子12名）, プール利用料は各自負担 + 年会費1000円, 泳ぎたい人、水が好きな人、集まれ！競泳経験者から、健康のために泳ぎたい人、これから泳げるようになりたい人まで。自分のペースで楽しめます。, 水と友達になろう！, 4月:新歓プール体験会 5月:クロール・平泳ぎレッスン会 7月:前期お楽しみリレー大会 8月:夏合宿(海or湖でのアクティビティ) 10月:バタフライ・背泳ぎ挑戦会 11月:理大祭(活動紹介) 12月:泳ぎ納め＆忘年会 2月:水中ゲーム大会 3月:春のタイムトライアル
1049, 2049, 剣道愛好会「一心館」, 野田, 運動系, 基本稽古（素振り、足捌き、打ち込み）、地稽古。段位取得サポート、学内・外の稽古会参加。, 週2回 (水曜・土曜), 森戸記念体育館 剣道場, 20名（男子15名、女子5名）, 5000円/年, 剣道経験者も、大学から始めたい初心者も歓迎！礼儀作法から丁寧に指導します。心身を鍛え、集中力を養いたい方、一緒に汗を流しませんか？, 剣の道に、終わりなし。, 4月:新歓体験稽古＆防具説明会 5月:基本動作集中稽古 7月:前期部内試合 8月:夏合宿(他大学合同稽古) 10月:昇段審査対策稽古 11月:理大祭(演武披露) 12月:稽古納め＆忘年会 2月:寒稽古 3月:卒業生送別稽古会
1050, 2050, チアリーディングチーム「Sparkles」, 野田, 運動系, スタンツ（組体操）、ダンス、タンブリングの練習。学内スポーツ応援、地域のイベント出演、大会出場。, 週2-3回 (火曜・金曜・日曜), 森戸記念体育館、トレーニング棟, 28名（男子5名、女子23名）, 15000円/年 + ユニフォーム・遠征費別途, 人を応援したい！元気を与えたい！アクロバティックな技に挑戦したい！初心者大歓迎！男女問わず募集中！最高のチームワークで最高の笑顔を届けよう！, Go Fight Win! 笑顔でエール！, 4月:新歓パフォーマンス＆体験会 5月:基礎体力・柔軟トレーニング 7月:スポーツ応援デビュー 8月:夏合宿(集中練習＆演技構成) 10月:地域イベント出演 11月:理大祭ステージ発表＆応援活動 12月:大会出場(目標) 2月:新演技構成練習開始 3月:卒業公演
1051, 2051, 軽音楽部「Sound Wave」, 野田, 音楽系, バンド活動（コピー中心）。定期的な学内ライブ、他大学との合同ライブ企画。機材管理。, 週1回 全体ミーティング(部室) + バンド毎に週1-2回スタジオ練習, 部室棟N105、柏・松戸周辺音楽スタジオ, 75名（男子50名、女子25名）, 入部費2000円 + 半期3000円 (機材維持・スタジオ代補助), バンドやりたい人大募集！初心者でも大丈夫、楽器パート相談乗ります！ライブ好き、音楽好きなら楽しめること間違いなし！一緒に音を鳴らそうぜ！, 最高の音を、最高の仲間と。, 4月:新歓ライブ＆セッション大会 5月:バンド結成支援会 6月:前期ライブ① 7月:前期ライブ② 8月:夏合宿(ライブ＆BBQ) 10月:合同ライブ(他大学と) 11月:理大祭ライブ 12月:年末ライブ 2月:卒業ライブ 3月:新入生向け準備ライブ
1052, 2052, ESS (English Speaking Society), ３キャンパス合同, 文化系, 英語でのディスカッション、ディベート、スピーチ練習、英語ゲーム、洋画鑑賞会など。, 週2回 活動 (火曜:野田 / 木曜:神楽坂/葛飾交代 or オンライン), 各キャンパス講義棟・ラウンジ、オンライン, 50名（男女比半々程度）, 1000円/年, 英語を話したい、使いたい人、集まれ！レベルは問いません。スピーキング力、リスニング力、コミュニケーション能力UP！留学生との交流も。, Let's enjoy speaking English!, 4月:新歓フリートーク＆ゲーム 5月:自己紹介スピーチ練習 6月:テーマディスカッション 7月:イングリッシュ・カフェ 8月:英語漬けサマーキャンプ(企画中) 10月:ハロウィン・イングリッシュパーティ 11月:プレゼンテーション練習会 12月:洋画鑑賞＆ディスカッション 2月:ディベート練習試合 3月:スピーチコンテスト(部内)
1053, 2053, 旅行企画サークル「どこでもドア」, 野田, 文化系, 国内・海外旅行の企画立案、情報交換、旅行報告会。日帰り旅行、合宿形式の旅行実施。, 月1回 定例会(企画会議) + 旅行実施(年数回), 講義棟、オンライン、旅行先, 40名（男子20名、女子20名）, 年会費1000円 + 旅行費実費, 旅行好き、集まれ！計画立てるのが好きな人も、色々な場所に行きたい人も。定番観光地から穴場まで、みんなでアイデアを出し合って最高の旅を作ろう！, 未知なる場所へ、好奇心の旅。, 4月:新歓・旅の思い出語り会 5月:日帰り旅行企画プレゼン 6月:日帰り旅行①(近郊) 7月:夏休み旅行企画会議 8月:夏合宿旅行(2泊3日程度) 9月:旅行報告会 10月:日帰り旅行②(紅葉) 11月:理大祭(世界の写真展) 12月:冬休み旅行企画 2月:卒業旅行企画相談会 3月:春の旅行(日帰りor1泊)
1054, 2054, ディベートクラブ「Logos」, 野田, 文化系, 論理的思考力・表現力を鍛えるディベート練習。肯定側・否定側に分かれて立論・反駁・最終弁論。大会参加も。, 週1回 練習会(金曜放課後), 講義棟, 18名（男子12名、女子6名）, 500円/年 + 大会参加費実費, 思考力を鍛えたい、人前で話すのが得意になりたい方へ。初心者歓迎。物事を多角的に見る力、説得力のある話し方が身につきます。知的なゲームを楽しもう！, 言葉を武器に、真理を探求せよ。, 4月:新歓ディベート体験＆説明会 5月:ディベート基礎講座(立論・反駁) 6月:練習試合開始 7月:前期部内トーナメント 8月:夏合宿(集中練習＆他大学交流) 10月:大会形式練習 11月:新人ディベート大会参加(有志) 12月:OB/OGとの交流ディベート 2月:後期部内トーナメント 3月:春季ディベート大会参加(有志)
1055, 2055, I部体育局サッカー部, 野田, 運動系, 千葉県大学サッカーリーグ等での勝利を目指した練習。基礎技術、戦術練習、フィジカルトレーニング、練習試合。, 週4回 (火・水・木・土 朝練 or 夕練) + 日曜試合, 理科大グラウンド、千葉県内グラウンド, 30名（男子選手25名、女子マネージャー5名）, 約40000円/年 (部費、遠征費等), 本気でサッカーやりたい人、大学でも熱くなりたい人、待ってます！高いレベルを目指し、チーム一丸となって戦います。マネージャーも募集中！, 勝利への渇望、仲間との絆。, 4月:新シーズン開始、新入生歓迎 5月-11月:千葉県大学サッカーリーグ戦 6月:大学選手権予選 8月:夏合宿(強化合宿) 12月:天皇杯予選(日程による) 1月:新人戦 3月:春季遠征・練習試合
1056, 2056, ジャグリングパフォーマンス「Poi Lab」, 野田, 演技系, ポイ、スタッフ、ディアボロ、ボール、クラブ等のジャグリング練習。個人技、グループパフォーマンス創作。イベント出演。, 週1-2回 練習会(自主参加中心), 部室棟前広場、トレーニング棟, 25名（男子18名、女子7名）, 1000円/年 (共有道具代), ジャグリングやってみたい人、道具に触ってみたい人、歓迎！初心者でも大丈夫。自分のペースで技を習得できます。人前で披露する楽しさも！, モノを操り、観客を魅了する。, 4月:新歓ジャグリング体験会 5月:道具別練習会 7月:前期ミニ発表会 8月:夏合宿(練習＆パフォーマンス創作) 10月:地域イベント出演(予定) 11月:理大祭パフォーマンス 12月:クリスマスジャグリングショー 2月:技交換会 3月:年度末発表会
1057, 2057, 環境サークル「Eco-Connect」, 野田, 文化系, キャンパス内美化活動、リサイクル推進、環境問題に関する勉強会、地域イベントでの啓発活動。, 月1回 定例会 + 月1-2回 活動日, 講義棟、キャンパス内、地域施設, 32名（男子15名、女子17名）, 500円/年, 環境問題に関心がある人、何か行動したい人、一緒に活動しませんか？身近なことから始められます。学びながら、楽しく、持続可能な社会を目指しましょう。, 未来のために、今できること。, 4月:新歓説明会＆キャンパスクリーン活動 5月:リサイクルBOX設置・管理 6月:環境映画上映会＆ディスカッション 7月:水質調査体験(近隣河川) 8月:エコ活動報告会 10月:学内エコキャンペーン企画 11月:理大祭(環境クイズ、リサイクル工作) 12月:環境関連施設見学 2月:省エネに関する勉強会 3月:年度活動まとめ＆次年度計画
1058, 2058, 手話サークル「Sign Post」, 野田, 文化系, 日常会話レベルの手話学習、指文字、手話歌、ろう者との交流会企画。, 週1回 練習会(木曜放課後), 講義棟, 26名（男子10名、女子16名）, 1000円/年, 手話に興味がある方、新しいコミュニケーションを学びたい方、初心者大歓迎！楽しく学びながら、聴覚障がいへの理解も深めます。温かい雰囲気のサークルです。, 手で話そう、心で繋がろう。, 4月:新歓体験会＆交流会 5月:指文字・挨拶の練習 6月:日常会話フレーズ練習 7月:手話ソングに挑戦① 8月:ろう者の方との交流会企画 10月:手話での自己紹介練習 11月:理大祭(手話クイズ、ミニ講座) 12月:手話ソングに挑戦②＆クリスマス会 2月:手話劇練習(希望者) 3月:学習成果発表会
1059, 2059, ポケモンサークル「TUS Pokéfans」, 野田, 文化系, ゲーム対戦(SV、過去作)、カードゲーム、ポケモンGO活動、アニメ・グッズ情報交換など。, 週1回 活動日(水曜放課後) + オンライン対戦随時, 講義棟 K608、オンライン(Discord), 40名（男子35名、女子5名）, 500円/年, ポケモン好きなら誰でも歓迎！ガチ対戦勢からエンジョイ勢、ストーリー好き、カード勢まで幅広く。最新情報交換したり、皆で対戦したり、ゆるく楽しく活動中！, 全てのポケモン好きに、最高の居場所を。, 4月:新歓対戦会＆交流会 5月:好きなポケモン語り会 6月:部内シングルバトル大会 7月:ポケモンカード交流会 8月:夏休みポケモン映画鑑賞会(有志) 9月:部内ダブルバトル大会 11月:理大祭(フリー対戦＆展示) 12月:年末特殊ルール大会 2月:ポケモンGOコミュニティデイ集会 3月:次世代に向けた育成相談会
1060, 2060, 麻雀同好会「雀荘Noda」, 野田, 文化系, 部員同士での麻雀対局。点数計算や役の勉強会（初心者向け）。オンライン麻雀も活用。, 週2回 活動日(火曜・金曜 18:00～), 講義棟 K609 (専用卓あり), 30名（男子27名、女子3名）, 0円 (部室維持協力金任意), 麻雀打ちたい人、覚えたい人、集まれ！初心者にはルールから丁寧に教えます。経験者も歓迎。和気あいあいと、時に真剣に、牌を囲みましょう！, ツモれ、未来！鳴かせろ、青春！, 4月:新歓・初心者麻雀体験会 5月:点数計算勉強会 6月:部内リーグ戦開始 7月:役 Mリーグ観戦会 8月:夏合宿(麻雀三昧) 10月:三人麻雀交流会 11月:理大祭(フリー対局、初心者教室) 12月:年末最強位決定戦 2月:オンライン麻雀大会(部内) 3月:OB/OG交流対局会
1061, 2061, エンジョイテニスサークル「スマイル」, 野田, 運動系, 初心者中心の硬式テニス。ラリー練習、簡単なゲーム形式。テニス以外のイベント（BBQ、ボーリング等）も多い。, 週1回 (土曜午後) + 月1回イベント企画, 野田キャンパステニスコート、近隣レジャー施設, 80名（男子40名、女子40名）, 5000円/年, テニスやったことない人、大歓迎！運動苦手でも大丈夫！ラケットの持ち方から教えます。友達作りたい人、楽しい大学生活送りたい人、集まれ～！, 笑顔で繋がる、テニスと仲間！, 4月:新歓テニス体験＆お花見 5月:初心者集中レッスンウィーク 6月:BBQ大会 7月:前期納会ボーリング大会 8月:夏合宿(テニス＆観光) 10月:ハロウィン仮装テニス 11月:理大祭(模擬店出店) 12月:クリスマステニス＆パーティー 2月:スノボ旅行(希望者) 3月:卒業生追い出しテニス
1062, 2062, サッカー愛好会「FC Noda」, 野田, 運動系, 経験者中心だがガチすぎないサッカー。紅白戦、基礎技術練習。地域の社会人チームとの交流試合も。, 週1-2回 (木曜夕方、日曜午前), 野田市総合公園グラウンド、近隣グラウンド, 40名（男子38名、女子マネージャー2名）, 6000円/年 (グラウンド代), サッカー好き集まれ！そこそこ真面目に、でも楽しくやりたい人に最適。高校までやってたけど部活はちょっと…という人もぜひ！マネージャーも募集中！, ボール一つで、週末が輝く。, 4月:新歓ミニゲーム大会 5月:ポジション別練習会 6月:社会人チーム交流戦① 8月:夏合宿(試合形式中心) 9月:学内サークル対抗戦(企画) 10月:社会人チーム交流戦② 11月:理大祭(OB戦) 12月:蹴り納め＆忘年会 2月:フットサル大会参加(有志) 3月:新体制紅白戦
1063, 2063, ゆるバスケサークル「ダンクしないズ」, 野田, 運動系, とにかく楽しくバスケ！経験・性別不問。シュート練習、ゆるいゲーム。運動不足解消目的の人多め。, 月2回程度 (不定期 土曜午後), 野田市内小学校体育館(借りられた時), 35名（男子20名、女子15名）, 参加時500円程度 (体育館代), バスケしたいけど体力自信ない…そんなあなたに！経験なくても全然OK！ダンクは禁止(笑)。シュート決まったら皆でハイタッチ！超ゆる～くやってます。, 運動不足解消！楽しくシュート！, 不定期で月2回程度活動 / 4月:新歓ゆるバスケ体験 6月:体力測定(ゆるめ) 8月:暑気払い飲み会 10月:ハロウィン仮装バスケ(？) 12月:忘年会 2月:初心者向けシュート講座 3月:年度末お楽しみゲーム会
1064, 2064, アイドルコピーダンスユニット「Twinkle☆Stars」, 野田, 音楽系, 主に日本の女性アイドルグループのダンスコピー。学園祭や外部イベントでのステージ発表。, 週2回 (水曜・日曜), トレーニング棟、外部レンタルスタジオ, 30名（女子25名、男子(裏方兼務)5名）, 10000円/年 + 衣装代・スタジオ代別途, アイドルが好き！ダンスが好き！キラキラしたい！女子メンバー大募集！未経験でも大丈夫、皆で教え合います。可愛い衣装でステージに立とう！男子スタッフも歓迎！, ステージで輝く、一番星に！, 4月:新歓ステージ＆説明会 5月:担当曲決め＆練習開始 7月:前期発表会(学内) 8月:夏合宿(集中練習＆撮影会) 10月:外部イベント出演(目標) 11月:理大祭ステージ 12月:クリスマスミニライブ 2月:新曲練習開始 3月:卒業ライブ
1065, 2065, マジック＆パフォーマンス「Illusionist」, 野田, 演技系, クロースアップマジック、ステージマジック、ジャグリング等の練習・研究・発表。地域のイベント出演も。, 週1回 練習会(木曜放課後), 講義棟、部室棟, 20名（男子16名、女子4名）, 2000円/年 (共有道具代), 人を驚かせたい、楽しませたい人！マジックやジャグリングに挑戦しませんか？初心者歓迎。トランプ一つから始められます。不思議な技を身につけよう！, あなたの日常に、魔法をかける。, 4月:新歓マジックショー＆体験会 5月:トランプマジック基礎講座 6月:ジャグリング体験会 7月:前期発表会 8月:夏合宿(ネタ見せ＆練習) 10月:ステージマジック研究会 11月:理大祭パフォーマンス 12月:福祉施設などでの慰問公演(依頼あれば) 2月:クロースアップマジック発表会 3月:年度末イリュージョンショー(？)
1066, 2066, 模擬国連「TUSMUN」, ３キャンパス合同, 文化系, 各国大使となり、国際問題を議論・交渉し、決議案を作成する模擬国連活動。各種大会への参加。, 週1回 勉強会/リサーチ会 + 大会前は集中準備, オンライン、各キャンパス講義棟, 25名（男子14名、女子11名）, 大会参加費実費, 国際問題に関心がある人、交渉力・議論力を高めたい人、英語を使いたい人歓迎！リサーチ力、プレゼン力も身につきます。世界を舞台に活躍しよう！, 知性と交渉力で、世界を動かせ。, 4月:新歓説明会＆模擬会議体験 5月:担当国・議題決定、リサーチ開始 6月:スピーチ・交渉術ワークショップ 7月:学内模擬国連会議 8月:夏合宿(大会準備集中) 9月:全国大会参加(目標) 11月:後期テーマ勉強会 12月:OB/OGとの交流会議 2月:新人向けトレーニング会議 3月:春季大会参加(目標)
1067, 2067, コーヒー愛好会「Café Voyage」, 野田, 文化系, ハンドドリップ、サイフォンなど様々な淹れ方の研究・実践。豆の焙煎体験、カフェ巡り、コーヒーに合うお菓子作り。, 月2回 活動日(土曜午後), 部室棟 E109 (専用器具あり)、講義棟調理室、近隣カフェ, 30名（男子15名、女子15名）, 3000円/年 (豆代、器具維持費), コーヒーが好き、美味しいコーヒーを淹れたい人、集まれ！初心者でも大丈夫。豆の種類、淹れ方で味が変わる奥深さを一緒に探求しましょう。カフェのような空間で一息。, 一杯のコーヒーが、日常を豊かにする。, 4月:新歓・ハンドドリップ体験会 5月:世界のコーヒー豆飲み比べ 6月:サイフォン抽出体験 7月:アイスコーヒー特集 8月:自家焙煎体験(外部施設利用) 9月:コーヒーに合うお菓子作り 10月:ラテアート練習会 11月:理大祭(カフェ出店) 12月:クリスマスブレンド作り 2月:エスプレッソマシン体験 3月:お気に入りカフェ巡りツアー
1068, 2068, eスポーツサークル「TUS Gaming」, 野田, 文化系, FPS,  MOBA,  格ゲーなど人気タイトルのプレイ・対戦会。学内大会企画、外部大会参加(有志)。ストリーミング配信も。, 週1-2回 オンライン活動中心 + 不定期オフライン対戦会, オンライン(Discord)、講義棟(オフライン時), 50名（男子45名、女子5名）, 0円, ゲーム好きなら誰でも歓迎！エンジョイ勢からガチ勢まで。好きなタイトルで仲間を見つけよう！チームで連携する楽しさ、勝利の喜びを分かち合おう！, 画面の向こうに、無限の熱狂！, 毎月タイトル別オンライン交流戦 / 4月:新歓オンライン交流会 5月:人気タイトル学内リーグ開始 7月:ストリーミング配信講習会 8月:夏休み集中プレイ期間 10月:学内eスポーツ大会開催 11月:理大祭(試遊体験、対戦ブース) 12月:年末お祭り企画(複数タイトル) 2月:外部大会エントリーサポート 3月:次年度タイトル選定会議
1069, 2069, ワンダーフォーゲル部 (山岳・アウトドア), 野田, 運動系, 登山（日帰り、小屋泊、テント泊）、沢登り、キャンプ、スキーなど、四季を通じたアウトドア活動。, 月1-2回の山行(週末) + 週1回トレーニング/ミーティング, 関東甲信越の山々、大学トレーニング施設、部室, 28名（男子20名、女子8名）, 10000円/年 + 山行実費, 自然が好き！山が好き！冒険が好き！な人、集まれ！初心者歓迎。体力作りから始められます。装備の貸出・相談もOK。大自然の中で感動体験を！, 一歩踏み出せば、そこは絶景。, 4月:新歓ハイキング(筑波山)＆装備説明会 5月:テント泊講習＆実践(丹沢) 6月:沢登り体験 7月:夏山登山(北アルプス等 / 長期) 8月:夏合宿(複数企画) 9月:クライミング講習 10月:紅葉登山 11月:地図読み講習会 12月:納山祭＆忘年会 1月-3月:雪山登山/スキーツアー(希望者)
